model           cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_top15  cs_top20  cs_top25  cs_top30  cs_top35  cs_top40  cs_top45  cs_top50
C1908x2TS389_1  [0.465]  [0.463]  [0.452]  [0.457]  [0.457]  [0.455]  [0.455]  [0.447]  [0.449]  [0.444]   [0.464]   [0.467]   [0.465]   [0.458]   [0.447]   [0.434]   [0.422]   [0.410]
C1908x2TS103_3  0        0        0        0        0        0        0        0        0        0         0         0         0         0.248     0.249     0.250     0.253     0.258
C1908x2TS123_3  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0.324     0.331     0.332     0.332
C1908x2TS003_1  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0.263     0.264     0.267     0.270
C1908x2TS404_1  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0.319     0.323     0.325
C1908x2TS103_1  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0.265     0.268     0.274
C1908x2TS049_3  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0         0.328     0.336
C1908x2TS049_4  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0         0.317     0.324
C1908x2TS067_1  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0         0.268     0.281
C1908x2TS067_3  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0         0.265     0.280
C1908x2TS067_4  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0         0.259     0.272
C1908x2TS067_5  0        0        0        0        0        0        0        0        0        0         0         0         0         0         0         0         0         0.286
