C1901x2TS003_1 C1901x2TS049_1 C1901x2TS049_2 C1901x2TS049_3 C1901x2TS049_4 C1901x2TS049_5 C1901x2TS067_1 C1901x2TS067_2 C1901x2TS067_3 C1901x2TS067_4 C1901x2TS067_5 C1901x2TS123_1 C1901x2TS123_2 C1901x2TS123_3 C1901x2TS123_4 C1901x2TS123_5 C1901x2TS215_1 C1901x2TS215_2 C1901x2TS215_3 C1901x2TS215_4 C1901x2TS215_5 C1901x2TS228_1 C1901x2TS369_1 C1901x2TS389_1 C1901x2TS389_2 C1901x2TS389_3 C1901x2TS389_4 C1901x2TS389_5
0.192505 0.101292 0.0866724 0.0891735 0.0952747 0.0853334 0.213175 0.200554 0.205667 0.209963 0.222909 0.244475 0.199018 0.198626 0.235953 0.235953 0.326138 1 0.395836 0.331176 0.326556 0.290462 0.322162 0.306299 0.297563 0.287825 0.314963 0.301991
0.196229 0.107875 0.0942655 0.0957431 0.0954664 0.0972799 0.221471 0.212716 0.211563 0.224399 0.230521 0.246968 0.211019 0.205966 0.230265 0.230265 0.320373 0.396994 1 0.325785 0.330484 0.304795 0.335065 0.335934 0.317352 0.316958 0.337345 0.333398
0.196398 0.102454 0.0948591 0.0914944 0.0929785 0.0856412 0.213021 0.202281 0.207827 0.212949 0.218469 0.238128 0.198999 0.202921 0.231388 0.231388 0.321924 0.32796 0.32532 1 0.598383 0.274548 0.294128 0.294381 0.278923 0.275716 0.289181 0.284117
0.203513 0.111316 0.101277 0.0970336 0.102141 0.0921742 0.221532 0.208233 0.211505 0.218653 0.227464 0.241824 0.209005 0.209042 0.241314 0.241314 0.320956 0.332769 0.336879 0.607653 1 0.281036 0.302982 0.297675 0.282503 0.282561 0.299265 0.297464
0.214861 0.126448 0.110507 0.103935 0.106671 0.104979 0.24571 0.226969 0.235534 0.239266 0.262569 0.290742 0.249485 0.260491 0.279827 0.279827 0.298753 0.319708 0.339594 0.306133 0.303415 1 0.382918 0.372449 0.343585 0.355234 0.373134 0.356279
0.236792 0.13512 0.122486 0.113656 0.119843 0.11617 0.266614 0.249734 0.265655 0.268334 0.290478 0.33206 0.284647 0.289976 0.321655 0.321655 0.361986 0.384068 0.407698 0.366812 0.364153 0.414361 1 0.469092 0.424091 0.44143 0.450919 0.444839
0.243388 0.14358 0.127446 0.115304 0.119159 0.114629 0.26585 0.251997 0.26443 0.268864 0.289034 0.317817 0.276967 0.275782 0.312264 0.312264 0.342598 0.364873 0.400547 0.350076 0.345861 0.400294 0.462913 1 0.536429 0.546762 0.46987 0.469023
0.206061 0.121551 0.102211 0.0941837 0.103797 0.0958277 0.230986 0.212984 0.228097 0.228884 0.247823 0.279343 0.243543 0.242032 0.275296 0.275296 0.311519 0.328764 0.354032 0.308536 0.305405 0.35062 0.38778 0.49815 1 0.449132 0.411518 0.404611
0.218175 0.123398 0.109406 0.108321 0.107092 0.105962 0.23588 0.225739 0.228185 0.234001 0.259059 0.283564 0.258533 0.25405 0.281253 0.281253 0.312469 0.324304 0.353195 0.312088 0.310801 0.360336 0.414364 0.517289 0.453012 1 0.419144 0.421191
0.237665 0.135775 0.118017 0.111787 0.115911 0.111724 0.249283 0.239479 0.256016 0.252237 0.273627 0.312515 0.267506 0.2767 0.300907 0.300907 0.345282 0.366536 0.397561 0.345695 0.342341 0.39673 0.439515 0.465921 0.434166 0.437108 1 0.491567
0.240811 0.148574 0.12549 0.117733 0.121589 0.117571 0.258223 0.244882 0.263934 0.261347 0.278512 0.329693 0.271994 0.277834 0.311732 0.311732 0.342214 0.363965 0.395911 0.342121 0.34461 0.383555 0.43996 0.46779 0.426822 0.442432 0.499575 1
