C1908x2TS003_1 C1908x2TS026_1 C1908x2TS026_2 C1908x2TS049_1 C1908x2TS049_2 C1908x2TS049_3 C1908x2TS049_4 C1908x2TS049_5 C1908x2TS067_1 C1908x2TS067_2 C1908x2TS067_3 C1908x2TS067_4 C1908x2TS067_5 C1908x2TS073_1 C1908x2TS073_2 C1908x2TS073_3 C1908x2TS073_4 C1908x2TS073_5 C1908x2TS103_1 C1908x2TS103_2 C1908x2TS103_3 C1908x2TS123_1 C1908x2TS123_2 C1908x2TS123_3 C1908x2TS123_4 C1908x2TS123_5 C1908x2TS131_1 C1908x2TS131_2 C1908x2TS131_3 C1908x2TS131_4 C1908x2TS131_5 C1908x2TS179_1 C1908x2TS210_1 C1908x2TS210_2 C1908x2TS210_3 C1908x2TS210_4 C1908x2TS210_5 C1908x2TS215_1 C1908x2TS215_2 C1908x2TS215_3 C1908x2TS215_4 C1908x2TS215_5 C1908x2TS228_1 C1908x2TS228_2 C1908x2TS228_3 C1908x2TS228_4 C1908x2TS228_5 C1908x2TS270_1 C1908x2TS345_1 C1908x2TS345_2 C1908x2TS345_3 C1908x2TS345_4 C1908x2TS345_5 C1908x2TS389_1 C1908x2TS389_2 C1908x2TS389_3 C1908x2TS389_4 C1908x2TS389_5 C1908x2TS404_1 C1908x2TS404_2 C1908x2TS404_3 C1908x2TS404_4 C1908x2TS404_5 C1908x2TS405_1 C1908x2TS405_2 C1908x2TS405_3 C1908x2TS405_4 C1908x2TS405_5 C1908x2TS432_1
0.32387 0.297982 0.321161 0.340869 0.316517 0.350063 0.316353 0.324017 0.327696 0.319345 0.329213 0.317768 0.331361 0.340908 0.330179 0.331391 0.319364 0.331372 0.347742 0.308601 1 0.292349 0.278335 0.372176 0.372176 0.372176 0.263056 0.26809 0.285351 0.253445 0.273399 0.287166 0.31124 0.310236 0.311302 0.297145 0.29971 0.323311 0.342235 0.329051 0.317723 0.31485 0.303109 0.29793 0.2929 0.303239 0.302427 0.334073 0.31264 0.31173 0.283838 0.302803 0.338177 0.31566 0.311562 0.317908 0.320736 0.319659 0.33388 0.334618 0.332916 0.331188 0.331877 0.31124 0.310236 0.311302 0.297145 0.29971 0.333734
0.230066 0.250149 0.237892 0.268473 0.246621 0.272251 0.275188 0.24805 0.237527 0.229529 0.240693 0.239076 0.247752 0.30169 0.301726 0.297027 0.278455 0.26142 0.222355 0.260282 0.168897 1 0.238505 0.272539 0.272539 0.272539 0.219861 0.219737 0.215241 0.206158 0.209046 0.279025 0.302367 0.302275 0.289039 0.292096 0.284379 0.286529 0.272983 0.310742 0.271979 0.304345 0.293652 0.283294 0.30867 0.276922 0.316126 0.314038 0.305823 0.338541 0.319471 0.324676 0.303551 0.307033 0.303609 0.306967 0.297911 0.309967 0.268926 0.262957 0.24988 0.263958 0.267221 0.302367 0.302275 0.289039 0.292096 0.284379 0.293294
0.226037 0.225648 0.225128 0.269985 0.242482 0.268295 0.261104 0.257021 0.222202 0.259548 0.215058 0.211075 0.222738 0.29789 0.295167 0.279502 0.296307 0.293325 0.220222 0.241499 0.191273 0.278698 1 0.274537 0.274537 0.274537 0.236232 0.250484 0.248539 0.235124 0.247757 0.283348 0.302214 0.316902 0.321117 0.308954 0.315083 0.277056 0.271673 0.293452 0.265191 0.277892 0.298768 0.306961 0.315575 0.300037 0.342275 0.331414 0.277438 0.268214 0.288915 0.280132 0.269614 0.338424 0.327137 0.337951 0.32893 0.343776 0.241699 0.246548 0.247525 0.238527 0.243624 0.302214 0.316902 0.321117 0.308954 0.315083 0.295509
0.294264 0.301615 0.308205 0.319272 0.309557 0.320299 0.323169 0.319362 0.293319 0.318148 0.30274 0.277654 0.297292 0.342377 0.340877 0.341527 0.33967 0.344606 0.292147 0.313897 0.261384 0.332328 0.295826 1 1 1 0.275374 0.290769 0.288619 0.263486 0.280205 0.309474 0.388433 0.382144 0.362179 0.37198 0.353194 0.36718 0.382228 0.350263 0.369129 0.386689 0.343283 0.34084 0.331203 0.322495 0.348649 0.381048 0.328283 0.34148 0.338237 0.34963 0.336055 0.363934 0.357135 0.373906 0.354586 0.361405 0.348241 0.344118 0.344431 0.344287 0.338177 0.388433 0.382144 0.362179 0.37198 0.353194 0.365922
0.294264 0.301615 0.308205 0.319272 0.309557 0.320299 0.323169 0.319362 0.293319 0.318148 0.30274 0.277654 0.297292 0.342377 0.340877 0.341527 0.33967 0.344606 0.292147 0.313897 0.261384 0.332328 0.295826 1 1 1 0.275374 0.290769 0.288619 0.263486 0.280205 0.309474 0.388433 0.382144 0.362179 0.37198 0.353194 0.36718 0.382228 0.350263 0.369129 0.386689 0.343283 0.34084 0.331203 0.322495 0.348649 0.381048 0.328283 0.34148 0.338237 0.34963 0.336055 0.363934 0.357135 0.373906 0.354586 0.361405 0.348241 0.344118 0.344431 0.344287 0.338177 0.388433 0.382144 0.362179 0.37198 0.353194 0.365922
0.294264 0.301615 0.308205 0.319272 0.309557 0.320299 0.323169 0.319362 0.293319 0.318148 0.30274 0.277654 0.297292 0.342377 0.340877 0.341527 0.33967 0.344606 0.292147 0.313897 0.261384 0.332328 0.295826 1 1 1 0.275374 0.290769 0.288619 0.263486 0.280205 0.309474 0.388433 0.382144 0.362179 0.37198 0.353194 0.36718 0.382228 0.350263 0.369129 0.386689 0.343283 0.34084 0.331203 0.322495 0.348649 0.381048 0.328283 0.34148 0.338237 0.34963 0.336055 0.363934 0.357135 0.373906 0.354586 0.361405 0.348241 0.344118 0.344431 0.344287 0.338177 0.388433 0.382144 0.362179 0.37198 0.353194 0.365922
0.249428 0.228233 0.22933 0.239398 0.234969 0.242136 0.232638 0.24267 0.234133 0.248231 0.238434 0.240683 0.241336 0.288632 0.294309 0.279409 0.272654 0.302174 0.258932 0.234937 0.181688 0.269392 0.236656 0.273507 0.273507 0.273507 1 0.604979 0.538598 0.448001 0.50073 0.295074 0.353523 0.350568 0.338124 0.36033 0.347829 0.263527 0.336565 0.316578 0.320957 0.280865 0.368282 0.372326 0.320423 0.337989 0.341951 0.340224 0.24928 0.266482 0.260259 0.266022 0.258377 0.327173 0.326951 0.324064 0.315196 0.330285 0.237319 0.245559 0.248393 0.237439 0.241879 0.353523 0.350568 0.338124 0.36033 0.347829 0.314202
0.225282 0.238595 0.232668 0.239984 0.226789 0.258777 0.234215 0.236761 0.225782 0.242678 0.229214 0.240608 0.230638 0.28347 0.298116 0.28305 0.27472 0.285326 0.256225 0.24718 0.185669 0.271962 0.250873 0.269901 0.269901 0.269901 0.590606 1 0.598396 0.47687 0.54965 0.281771 0.342547 0.351846 0.337392 0.363409 0.354766 0.306275 0.334472 0.32607 0.318809 0.291188 0.372035 0.369841 0.314808 0.348062 0.33544 0.35357 0.258092 0.267563 0.255947 0.251243 0.27362 0.343606 0.3439 0.334361 0.325287 0.344142 0.240713 0.24329 0.237626 0.240467 0.248578 0.342547 0.351846 0.337392 0.363409 0.354766 0.305217
0.251646 0.242411 0.238788 0.246566 0.230137 0.249511 0.237831 0.24958 0.239451 0.243953 0.245145 0.2478 0.250138 0.288421 0.289658 0.290472 0.278499 0.282068 0.258891 0.244071 0.195988 0.266481 0.243253 0.29272 0.29272 0.29272 0.542817 0.631468 1 0.508806 0.544203 0.276573 0.335204 0.352523 0.338083 0.355829 0.351075 0.300733 0.319115 0.318912 0.30277 0.280582 0.345899 0.367934 0.310173 0.331172 0.33782 0.348097 0.255213 0.26926 0.263348 0.254323 0.281694 0.334946 0.344176 0.329198 0.327743 0.333567 0.245534 0.249483 0.246601 0.242749 0.246248 0.335204 0.352523 0.338083 0.355829 0.351075 0.309252
0.256158 0.234409 0.233014 0.255864 0.246114 0.254734 0.256434 0.263227 0.21542 0.246742 0.222978 0.22379 0.228443 0.287717 0.289792 0.291049 0.295431 0.281293 0.271432 0.248341 0.187302 0.262187 0.238676 0.26084 0.26084 0.26084 0.4384 0.492391 0.508634 1 0.537236 0.2805 0.311879 0.321819 0.316026 0.347952 0.331455 0.295335 0.303792 0.296847 0.301496 0.293918 0.330659 0.322774 0.30778 0.316849 0.323069 0.338541 0.258546 0.255618 0.256215 0.263829 0.267399 0.328615 0.322201 0.32636 0.319328 0.326162 0.226347 0.236099 0.236692 0.221333 0.230043 0.311879 0.321819 0.316026 0.347952 0.331455 0.31012
