C1906x2TS003_1 C1906x2TS044_1 C1906x2TS049_1 C1906x2TS049_2 C1906x2TS049_3 C1906x2TS049_4 C1906x2TS049_5 C1906x2TS067_1 C1906x2TS067_2 C1906x2TS067_3 C1906x2TS067_4 C1906x2TS067_5 C1906x2TS073_1 C1906x2TS073_2 C1906x2TS073_3 C1906x2TS073_4 C1906x2TS073_5 C1906x2TS121_1 C1906x2TS121_2 C1906x2TS123_1 C1906x2TS123_2 C1906x2TS123_3 C1906x2TS123_4 C1906x2TS123_5 C1906x2TS215_1 C1906x2TS215_2 C1906x2TS215_3 C1906x2TS215_4 C1906x2TS215_5 C1906x2TS228_1 C1906x2TS301_1 C1906x2TS301_2 C1906x2TS389_1 C1906x2TS389_2 C1906x2TS389_3 C1906x2TS389_4 C1906x2TS389_5
0.213407 0.386375 0.130124 0.0904175 0.101617 0.0952172 0.0965148 0.229362 0.230086 0.229362 0.235238 0.230025 0.299684 0.296294 0.315088 0.305752 0.307277 0.26305 0.248217 0.273317 0.288435 0.25363 0.239172 0.258034 0.373752 1 0.413079 0.399166 0.376718 0.371507 0.386375 0.386376 0.342645 0.325065 0.330033 0.332551 0.329938
0.207427 0.40231 0.128406 0.0939877 0.0990629 0.0888192 0.0909934 0.216347 0.212182 0.216347 0.221929 0.212182 0.302502 0.308786 0.318399 0.307292 0.321707 0.255197 0.231992 0.275374 0.279844 0.275595 0.262974 0.240518 0.383206 0.40235 1 0.390237 0.392735 0.399734 0.40231 0.402312 0.345874 0.336719 0.328136 0.345472 0.346744
0.223744 0.389814 0.12831 0.0943007 0.106424 0.0988356 0.0981819 0.225314 0.231129 0.225314 0.24317 0.231068 0.292851 0.318942 0.318977 0.302158 0.292436 0.264603 0.245491 0.264428 0.263285 0.270913 0.262683 0.253514 0.356266 0.396464 0.405088 1 0.392345 0.377128 0.389814 0.389823 0.344473 0.324118 0.335743 0.350122 0.349322
0.213036 0.422972 0.117951 0.0893533 0.0917075 0.0814355 0.0864058 0.217419 0.23022 0.217419 0.237636 0.230281 0.32124 0.339469 0.321416 0.32324 0.326449 0.263447 0.255267 0.266891 0.263639 0.265296 0.263176 0.25469 0.403033 0.369793 0.396699 0.381643 1 0.403817 0.422972 0.42297 0.367059 0.349098 0.351454 0.353596 0.366445
0.249281 0.54769 0.145156 0.1048 0.121136 0.101058 0.100925 0.239443 0.263426 0.239443 0.280509 0.263491 0.411599 0.452993 0.387277 0.411645 0.426923 0.323359 0.295936 0.325762 0.315371 0.314778 0.317426 0.29493 0.488408 0.418268 0.471716 0.429721 0.460807 1 0.54769 0.54769 0.479773 0.465864 0.504206 0.518658 0.511757
0.260485 1 0.143283 0.11369 0.103547 0.0951131 0.106013 0.250218 0.275979 0.250218 0.289095 0.275979 0.403828 0.402078 0.404087 0.402752 0.408972 0.32172 0.295815 0.329588 0.343275 0.32049 0.317494 0.29916 0.476846 0.425636 0.461807 0.434017 0.483441 0.5326 1 0.999838 0.506003 0.486762 0.510802 0.510117 0.506233
0.260482 0.999838 0.143279 0.113686 0.103543 0.0951064 0.106007 0.250215 0.275984 0.250215 0.289101 0.275984 0.403827 0.402059 0.404095 0.402752 0.408968 0.321725 0.295809 0.329575 0.343272 0.320488 0.317492 0.299158 0.476852 0.425637 0.46181 0.434023 0.483443 0.532605 0.999838 1 0.505995 0.486759 0.510796 0.510108 0.506227
0.279187 0.551548 0.171275 0.12634 0.129578 0.123885 0.136363 0.260651 0.295559 0.260651 0.31277 0.295626 0.444398 0.420426 0.406448 0.41696 0.425511 0.352169 0.319555 0.351892 0.365899 0.338924 0.337729 0.340194 0.430411 0.401958 0.432061 0.409066 0.448372 0.51063 0.551548 0.551543 1 0.637559 0.570046 0.567812 0.574781
0.271731 0.519486 0.168321 0.130392 0.138863 0.116169 0.127137 0.257083 0.297587 0.257083 0.306647 0.297587 0.423519 0.421613 0.415187 0.408002 0.419994 0.325378 0.312367 0.333439 0.344003 0.335416 0.336394 0.318505 0.412128 0.377119 0.410885 0.371962 0.417301 0.478193 0.519486 0.519483 0.632048 1 0.558598 0.556797 0.552238
0.253502 0.503949 0.149797 0.111019 0.112147 0.0979189 0.107193 0.251431 0.273666 0.251431 0.285384 0.273666 0.419148 0.432243 0.397671 0.41397 0.424608 0.331068 0.308405 0.342559 0.334445 0.330809 0.323072 0.301665 0.402719 0.366301 0.387514 0.36814 0.398343 0.497122 0.503949 0.503943 0.533096 0.525601 1 0.672369 0.661038
0.260311 0.51687 0.149009 0.107525 0.115038 0.0990105 0.114606 0.247319 0.270634 0.247319 0.285529 0.270634 0.416888 0.429218 0.391485 0.405129 0.427591 0.321038 0.306571 0.326999 0.342722 0.32599 0.325784 0.306901 0.409684 0.368141 0.40524 0.377614 0.408746 0.507936 0.51687 0.516862 0.537032 0.536637 0.682302 1 0.746538
0.256137 0.515045 0.144514 0.119396 0.114966 0.101668 0.115047 0.248891 0.281117 0.248891 0.290554 0.281183 0.421996 0.430063 0.398392 0.412628 0.434831 0.325973 0.31474 0.335282 0.345228 0.320617 0.324746 0.308156 0.415143 0.366131 0.407618 0.386673 0.423569 0.504294 0.515045 0.515041 0.551621 0.541011 0.675171 0.750294 1
