C1903x2TS003_1 C1903x2TS044_1 C1903x2TS049_1 C1903x2TS049_2 C1903x2TS049_3 C1903x2TS049_4 C1903x2TS049_5 C1903x2TS067_1 C1903x2TS067_2 C1903x2TS067_3 C1903x2TS067_4 C1903x2TS067_5 C1903x2TS073_1 C1903x2TS073_2 C1903x2TS073_3 C1903x2TS073_4 C1903x2TS073_5 C1903x2TS103_1 C1903x2TS121_1 C1903x2TS121_2 C1903x2TS123_1 C1903x2TS123_2 C1903x2TS123_3 C1903x2TS123_4 C1903x2TS123_5 C1903x2TS131_1 C1903x2TS131_2 C1903x2TS131_3 C1903x2TS131_4 C1903x2TS131_5 C1903x2TS215_1 C1903x2TS215_2 C1903x2TS215_3 C1903x2TS215_4 C1903x2TS215_5 C1903x2TS228_1 C1903x2TS228_2 C1903x2TS228_3 C1903x2TS228_4 C1903x2TS228_5 C1903x2TS301_1 C1903x2TS389_1 C1903x2TS389_2 C1903x2TS389_3 C1903x2TS389_4 C1903x2TS389_5
0.236525 0.329772 0.143763 0.123939 0.124884 0.119118 0.111359 0.291795 0.291795 0.291795 0.288863 0.288863 0.3966 0.39182 0.398949 1 0.384311 0.316995 0.304423 0.302208 0.340662 0.319608 0.321043 0.30728 0.30728 0.344836 0.337797 0.343175 0.342575 0.343516 0.329613 0.338382 0.320935 0.342048 0.340467 0.3352 0.341487 0.343941 0.34411 0.342918 0.329772 0.36563 0.364482 0.366697 0.368379 0.364819
0.217104 0.334469 0.125136 0.119376 0.111932 0.104183 0.102859 0.273198 0.273198 0.273198 0.256999 0.256999 0.357969 0.346834 0.34987 0.372244 1 0.292537 0.263345 0.266769 0.317919 0.311982 0.31776 0.295091 0.295091 0.33882 0.336497 0.34042 0.329629 0.327685 0.310147 0.309042 0.320377 0.335769 0.326151 0.333503 0.325253 0.340069 0.337795 0.336219 0.334469 0.344564 0.357661 0.3446 0.354679 0.343778
0.234926 0.33685 0.137499 0.122216 0.12419 0.113602 0.108928 0.305419 0.305419 0.305419 0.291156 0.291156 0.306741 0.296452 0.309976 0.30774 0.292852 1 0.305997 0.305901 0.342288 0.334267 0.354177 0.32601 0.32601 0.37079 0.36728 0.377727 0.36903 0.370765 0.335054 0.330861 0.341824 0.337034 0.343534 0.350564 0.343764 0.359485 0.350595 0.357283 0.33685 0.363717 0.365981 0.35818 0.360704 0.362627
0.213609 0.282722 0.120674 0.105691 0.101857 0.111064 0.0942719 0.265378 0.265378 0.265378 0.265056 0.265056 0.267823 0.242436 0.252569 0.276599 0.24911 0.276581 1 0.422676 0.296481 0.275516 0.292056 0.293244 0.293244 0.285056 0.284775 0.294123 0.287525 0.282933 0.271825 0.279498 0.284128 0.281554 0.29074 0.278413 0.285699 0.285676 0.284423 0.277536 0.282722 0.293489 0.294297 0.295639 0.292602 0.29979
0.22203 0.311723 0.119899 0.115257 0.108483 0.103442 0.08891 0.298643 0.298643 0.298643 0.271905 0.271905 0.29635 0.265947 0.285107 0.282654 0.271349 0.309417 0.482968 1 0.33074 0.302532 0.317896 0.322838 0.322838 0.316318 0.310661 0.321416 0.313113 0.308382 0.29739 0.297968 0.307994 0.300192 0.317844 0.300885 0.313568 0.315449 0.317453 0.311522 0.311723 0.316358 0.322896 0.327249 0.314314 0.325871
0.226842 0.375255 0.142538 0.11115 0.110606 0.106154 0.0865278 0.317461 0.317461 0.317461 0.290837 0.290837 0.356295 0.3264 0.319678 0.325942 0.31978 0.351409 0.323992 0.33264 1 0.381358 0.373073 0.425335 0.425335 0.395893 0.385639 0.398015 0.389167 0.380038 0.36984 0.364217 0.368683 0.375485 0.376862 0.37083 0.373167 0.386175 0.374794 0.376561 0.375255 0.389634 0.408952 0.384987 0.39309 0.397204
0.199276 0.32485 0.124541 0.113953 0.104711 0.0988334 0.091387 0.279657 0.279657 0.279657 0.267965 0.267965 0.299478 0.268331 0.281036 0.28341 0.275328 0.306196 0.275343 0.27193 0.346158 1 0.345549 0.315497 0.315497 0.331215 0.328027 0.337605 0.346291 0.3285 0.330902 0.313972 0.319286 0.318347 0.321667 0.3282 0.337245 0.342613 0.321323 0.323891 0.32485 0.347516 0.345611 0.343828 0.348054 0.348467
0.218687 0.374721 0.135112 0.112174 0.102772 0.099739 0.0963328 0.326919 0.326919 0.326919 0.291423 0.291423 0.317808 0.302847 0.320844 0.312246 0.322053 0.35039 0.318522 0.314597 0.373273 0.384904 1 0.354484 0.354484 0.388115 0.388682 0.388787 0.395371 0.375227 0.37044 0.351072 0.360555 0.380878 0.378692 0.37668 0.391766 0.39169 0.373195 0.385205 0.374721 0.400691 0.397375 0.393665 0.403617 0.397213
0.262081 0.357579 0.178595 0.162496 0.155798 0.151697 0.144771 0.33259 0.33259 0.33259 0.33116 0.33116 0.339466 0.313631 0.317906 0.332883 0.324247 0.361805 0.357756 0.357159 0.470415 0.390351 0.392521 1 1 0.379304 0.376583 0.385866 0.387749 0.366073 0.375632 0.362438 0.358953 0.38081 0.37344 0.358886 0.372413 0.367798 0.366716 0.354786 0.357579 0.387883 0.390235 0.390448 0.390674 0.390927
0.262081 0.357579 0.178595 0.162496 0.155798 0.151697 0.144771 0.33259 0.33259 0.33259 0.33116 0.33116 0.339466 0.313631 0.317906 0.332883 0.324247 0.361805 0.357756 0.357159 0.470415 0.390351 0.392521 1 1 0.379304 0.376583 0.385866 0.387749 0.366073 0.375632 0.362438 0.358953 0.38081 0.37344 0.358886 0.372413 0.367798 0.366716 0.354786 0.357579 0.387883 0.390235 0.390448 0.390674 0.390927
